"専攻コース","科目名","担当教員","受講者数","5","4","3","2","1","0"
"情報アーキテクチャ","システムソフトウェア特論","柴田 淳司","54","17","16","8","4","7","2"
"情報アーキテクチャ","フレームワーク開発特論","安川 要平","29","20","2","4","1","2","0"
"情報アーキテクチャ","データベース特論","木下 修司","35","4","7","5","13","3","3"
"情報アーキテクチャ","Javaプログラミング技法","張 晁逢","29","4","8","7","3","6","1"
"情報アーキテクチャ","プロジェクト管理特論1","三好 きよみ","19","4","10","4","0","0","1"
"情報アーキテクチャ","情報セキュリティ特論","奥原 雅之","44","9","16","10","5","2","2"
"情報アーキテクチャ","情報アーキテクチャ特論1","小山 裕司","34","3","5","15","5","4","2"
"情報アーキテクチャ","ネットワーク特論","大﨑 理乃","34","6","13","7","2","5","1"
"情報アーキテクチャ","情報アーキテクチャ特論3","中鉢 欣秀","16","3","11","2","0","0","0"
"情報アーキテクチャ","サービスサイエンス特論","松尾 徳朗","7","3","1","1","0","1","1"
"創造技術","インテリジェントシステム特論","林 久志","29","10","6","3","1","3","6"
"創造技術","設計工学特論","池本 浩幸","42","10","16","5","4","6","1"
"創造技術","プロダクトデザイン特論","内山 純","30","4","25","0","0","0","1"
"創造技術","プロトタイピング工学特論","近藤 嘉男,内山 純","29","7","16","1","0","2","3"
"創造技術","データサイエンス特論","橋本 洋志,大久保 友幸","35","23","4","3","0","4","1"
"事業設計工学","事業設計工学概論","事業設計工学コース教員","31","13","11","4","0","2","0"
"事業設計工学","事業方向性設計特論","廣瀬 雄大","28","10","14","2","0","1","0"
"事業設計工学","マネジメントシステム基礎特論","板倉 宏昭","22","10","6","2","2","1","1"
"事業設計工学","会計・ファインナンス工学特論","三好 祐補","19","16","0","0","0","0","3"
"事業設計工学","エマージング・イノベーション特論","吉田 敏","21","4","13","2","0","2","0"
"事業設計工学","サービスサイエンス特論","松尾 徳朗","27","9","6","7","2","1","2"
"共通","技術倫理","伏見 靖,川田 誠一","59","14","36","3","3","0","3"
