"専攻コース","科目名","担当教員","受講者数","5","4","3","2","1","0"
"情報アーキテクチャ","システムプログラミング特論","小山 裕司","56","2","4","9","13","18","10"
"情報アーキテクチャ","ネットワークシステム特別講義","飛田 博章","14","10","0","3","0","0","1"
"情報アーキテクチャ","ソフトウェア工学特論","追川 修一","43","9","15","10","5","0","4"
"情報アーキテクチャ","プロジェクト管理特別講義","三好 きよみ","26","7","13","3","0","0","3"
"情報アーキテクチャ","情報アーキテクチャ特論2","戸沢 義夫","24","7","7","3","2","0","5"
"情報アーキテクチャ","コラボレイティブ開発特論","中鉢 欣秀","25","8","13","3","0","0","1"
"情報アーキテクチャ","標準化と知財戦略","成田 雅彦","18","3","9","4","1","0","1"
"情報アーキテクチャ","情報セキュリティ特別講義1","奥原 雅之","21","2","10","8","0","0","1"
"創造技術","価値デザイン特論","國澤 好衛","41","12","16","6","0","4","3"
"創造技術","造形デザイン特別演習","内山 純,和泉 秀明","21","4","15","0","0","1","1"
"創造技術","デザインマネジメント特論","海老澤 伸樹","38","13","14","9","0","0","2"
"創造技術","組込みシステム特論","村越 英樹","30","11","11","7","0","0","1"
"創造技術","グローバルコミュニケーション特論","前田 充浩","21","6","10","2","0","0","3"
"創造技術","データサイエンス特別演習","浅野 浩美,小畑 崇弘,宮津 和弘","27","2","12","6","2","1","4"
"創造技術","創造設計特論","越水 重臣","43","6","29","3","1","2","2"
"事業設計工学","エマージング・テクノロジー特論","廣瀬 雄大","23","7","15","1","0","0","0"
"事業設計工学","製品開発組織特論","吉田 敏","21","6","9","3","0","1","2"
"事業設計工学","意思決定サイエンス特論","細田 貴明","25","16","6","1","0","0","2"
"事業設計工学","リーダーシップ特論","嶋津 恵子","15","2","8","3","0","0","2"
"事業設計工学","市場創造技術特論","松尾 徳朗","29","15","7","5","0","1","1"
